REF_DATE,GEO,DGUID,Age,Gender,Statistics,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
2021,"Corner Brook (CA), N.L.",2021S0504015,20 to 24 years,Women+,2021 Counts,800.0,750.0,20.0,0.0,30.0
2021,"Corner Brook (CA), N.L.",2021S0504015,25 to 64 years,Total - Gender,2021 Counts,15155.0,14710.0,370.0,120.0,70.0
2021,"Corner Brook (CA), N.L.",2021S0504015,25 to 64 years,Men+,2021 Counts,7210.0,6985.0,185.0,50.0,40.0
2021,"Corner Brook (CA), N.L.",2021S0504015,25 to 64 years,Women+,2021 Counts,7945.0,7725.0,185.0,65.0,35.0
2021,"Corner Brook (CA), N.L.",2021S0504015,25 to 54 years,Total - Gender,2021 Counts,10405.0,10060.0,275.0,115.0,70.0
2021,"Corner Brook (CA), N.L.",2021S0504015,25 to 54 years,Men+,2021 Counts,5030.0,4860.0,125.0,50.0,40.0
2021,"Corner Brook (CA), N.L.",2021S0504015,25 to 54 years,Women+,2021 Counts,5375.0,5195.0,145.0,65.0,35.0
2021,"Corner Brook (CA), N.L.",2021S0504015,25 to 34 years,Total - Gender,2021 Counts,2985.0,2835.0,115.0,55.0,45.0
2021,"Corner Brook (CA), N.L.",2021S0504015,25 to 34 years,Men+,2021 Counts,1535.0,1460.0,60.0,25.0,20.0
2021,"Corner Brook (CA), N.L.",2021S0504015,25 to 34 years,Women+,2021 Counts,1450.0,1380.0,50.0,30.0,25.0
2021,"Corner Brook (CA), N.L.",2021S0504015,35 to 44 years,Total - Gender,2021 Counts,3440.0,3340.0,80.0,45.0,30.0
2021,"Corner Brook (CA), N.L.",2021S0504015,35 to 44 years,Men+,2021 Counts,1625.0,1570.0,40.0,20.0,20.0
2021,"Corner Brook (CA), N.L.",2021S0504015,35 to 44 years,Women+,2021 Counts,1815.0,1765.0,40.0,25.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,45 to 54 years,Total - Gender,2021 Counts,3980.0,3890.0,85.0,10.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,45 to 54 years,Men+,2021 Counts,1870.0,1840.0,30.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,45 to 54 years,Women+,2021 Counts,2105.0,2050.0,55.0,10.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,55 to 64 years,Total - Gender,2021 Counts,4745.0,4650.0,100.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,55 to 64 years,Men+,2021 Counts,2185.0,2120.0,60.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,55 to 64 years,Women+,2021 Counts,2565.0,2525.0,40.0,0.0,0.0
