Locality,Province,Average Unmployment Rate (2021),DGUID,REF_DATE,Geography,English and French,English only,French only,Neither English nor French,Total - Knowledge of official languages,GEO,Coordinate,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]",GEO_LEVEL,CENSUS_YEAR,GEO_NAME,0 to 14 years,15 to 64 years,65 years and over,"Land area in square kilometres, 2021","National population rank, 2021","Population density per square kilometre, 2021","Population percentage change, 2016 to 2021","Population, 2016","Population, 2021","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2021","Province/territory population rank, 2021","Total private dwellings percentage change, 2016 to 2021","Total private dwellings, 2016","Total private dwellings, 2021",Age,Gender,Statistics,Total - Minority,Total Minority Population,South Asian,Chinese,Black,Filipino,Arab,Latin American,Southeast Asian,West Asian,Korean,Japanese,"Minority, n.i.e",Multiple Minorities,Not Minority,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,9947925.0,6832620.0,2860610.0,470080.0,254690.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,14405900.0,9800980.0,4068720.0,852775.0,536195.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,7101745.0,4902405.0,1910750.0,409505.0,288595.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,7304150.0,4898575.0,2157975.0,443275.0,247600.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,4898625.0,3461970.0,1102280.0,422480.0,334370.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2453265.0,1749875.0,522440.0,191830.0,180955.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2445360.0,1712095.0,579845.0,230650.0,153415.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,4872420.0,3239630.0,1487585.0,319490.0,145205.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2384020.0,1616435.0,690820.0,161260.0,76765.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2488405.0,1623200.0,796770.0,158235.0,68440.0
