DGUID,GEO_LEVEL,CENSUS_YEAR,GEO_NAME,  0 to 14 years,  15 to 64 years,  65 years and over
2021A00052403005,Census subdivision,2021,Gaspé,2125,9000,3530
2021A00052408053,Census subdivision,2021,Matane,1685,7920,3915
2021A00052410043,Census subdivision,2021,Rimouski,7010,28975,11480
2021A00052412072,Census subdivision,2021,Rivière-du-Loup,2745,11455,4665
2021A00052418050,Census subdivision,2021,Montmagny,1325,6305,3090
2021A00052423027,Census subdivision,2021,Québec,80845,339750,112940
2021A00052423057,Census subdivision,2021,L'Ancienne-Lorette,2505,10110,3825
2021A00052423072,Census subdivision,2021,Saint-Augustin-de-Desmaures,2980,12000,4275
2021A00052425213,Census subdivision,2021,Lévis,25135,92385,28710
2021A00052426030,Census subdivision,2021,Sainte-Marie,2335,7780,2525
2021A00052429073,Census subdivision,2021,Saint-Georges,5315,19735,7045
2021A00052431084,Census subdivision,2021,Thetford Mines,3525,13880,6840
2021A00052434017,Census subdivision,2021,Pont-Rouge,2030,6265,1620
2021A00052434128,Census subdivision,2021,Saint-Raymond,1850,6650,2355
2021A00052436033,Census subdivision,2021,Shawinigan,6290,27805,13550
2021A00052437067,Census subdivision,2021,Trois-Rivières,19555,82435,31685
2021A00052438010,Census subdivision,2021,Bécancour,2300,8175,2690
2021A00052439062,Census subdivision,2021,Victoriaville,7435,26840,11105
2021A00052443027,Census subdivision,2021,Sherbrooke,27195,107560,32425
2021A00052445072,Census subdivision,2021,Magog,3690,15465,7815
2021A00052446078,Census subdivision,2021,Bromont,1830,7080,2350
2021A00052446080,Census subdivision,2021,Cowansville,2275,8250,3760
2021A00052446112,Census subdivision,2021,Farnham,1945,6120,1900
2021A00052447017,Census subdivision,2021,Granby,10565,40315,15710
2021A00052449058,Census subdivision,2021,Drummondville,12400,47440,16595
2021A00052452007,Census subdivision,2021,Lavaltrie,2770,9270,2300
2021A00052453052,Census subdivision,2021,Sorel-Tracy,4380,19545,9785
2021A00052454048,Census subdivision,2021,Saint-Hyacinthe,8480,33525,12820
2021A00052455048,Census subdivision,2021,Marieville,2300,7045,1690
2021A00052456083,Census subdivision,2021,Saint-Jean-sur-Richelieu,16620,59935,19145
2021A00052457005,Census subdivision,2021,Chambly,6725,20180,3990
2021A00052457010,Census subdivision,2021,Carignan,2545,7835,1355
2021A00052457020,Census subdivision,2021,Saint-Basile-le-Grand,3355,11215,2335
2021A00052457035,Census subdivision,2021,Mont-Saint-Hilaire,3140,11305,3865
2021A00052457040,Census subdivision,2021,Beloeil,4575,14355,4815
2021A00052458007,Census subdivision,2021,Brossard,15160,56340,17645
2021A00052458012,Census subdivision,2021,Saint-Lambert,3410,12760,5620
2021A00052458033,Census subdivision,2021,Boucherville,6505,24845,9525
2021A00052458037,Census subdivision,2021,Saint-Bruno-de-Montarville,4640,15545,5745
2021A00052458227,Census subdivision,2021,Longueuil,42610,162960,44865
2021A00052459010,Census subdivision,2021,Sainte-Julie,5205,19425,4710
2021A00052459015,Census subdivision,2021,Saint-Amable,3020,8975,1325
2021A00052459020,Census subdivision,2021,Varennes,3920,13790,3090
2021A00052460013,Census subdivision,2021,Repentigny,15535,52815,16630
2021A00052460028,Census subdivision,2021,L'Assomption,5065,14335,3620
2021A00052461025,Census subdivision,2021,Joliette,3060,12530,4885
2021A00052461035,Census subdivision,2021,Saint-Charles-Borromée,1825,7395,4470
2021A00052462037,Census subdivision,2021,Rawdon,1745,7070,2685
2021A00052463048,Census subdivision,2021,Saint-Lin--Laurentides,5625,15480,2760
2021A00052463060,Census subdivision,2021,Sainte-Julienne,2065,7060,1780
2021A00052464008,Census subdivision,2021,Terrebonne,23795,77410,16840
2021A00052464015,Census subdivision,2021,Mascouche,10150,32590,7340
2021A00052465005,Census subdivision,2021,Laval,75140,280025,74390
2021A00052466023,Census subdivision,2021,Montréal,269930,1187090,266205
2021A00052466032,Census subdivision,2021,Westmount,2835,11150,5300
2021A00052466058,Census subdivision,2021,Côte-Saint-Luc,6000,18560,9155
2021A00052466072,Census subdivision,2021,Mont-Royal,4260,12755,3675
2021A00052466087,Census subdivision,2021,Dorval,2640,12490,3885
2021A00052466097,Census subdivision,2021,Pointe-Claire,4885,19240,7435
2021A00052466102,Census subdivision,2021,Kirkland,3070,12480,3690
2021A00052466107,Census subdivision,2021,Beaconsfield,3465,11950,3620
2021A00052466142,Census subdivision,2021,Dollard-Des Ormeaux,7885,30210,9830
2021A00052467015,Census subdivision,2021,La Prairie,4765,17145,4285
2021A00052467020,Census subdivision,2021,Candiac,4565,14580,3390
2021A00052467030,Census subdivision,2021,Sainte-Catherine,2910,11200,2490
2021A00052467035,Census subdivision,2021,Saint-Constant,5980,19800,3975
2021A00052467045,Census subdivision,2021,Mercier,3240,9330,2000
2021A00052467050,Census subdivision,2021,Châteauguay,9330,31435,9230
2021A00052470022,Census subdivision,2021,Beauharnois,2225,8505,2790
2021A00052470052,Census subdivision,2021,Salaberry-de-Valleyfield,6240,25315,9645
2021A00052471060,Census subdivision,2021,L'Île-Perrot,1820,7505,1855
2021A00052471065,Census subdivision,2021,Notre-Dame-de-l'Île-Perrot,2110,7735,1575
2021A00052471070,Census subdivision,2021,Pincourt,2840,9405,2455
2021A00052471083,Census subdivision,2021,Vaudreuil-Dorion,8545,27295,6335
2021A00052471105,Census subdivision,2021,Saint-Lazare,4525,14890,2935
2021A00052472005,Census subdivision,2021,Saint-Eustache,7550,27835,8885
2021A00052472010,Census subdivision,2021,Deux-Montagnes,3260,11620,2715
2021A00052472015,Census subdivision,2021,Sainte-Marthe-sur-le-Lac,4660,12595,2500
2021A00052473005,Census subdivision,2021,Boisbriand,5545,18430,4300
2021A00052473010,Census subdivision,2021,Sainte-Thérèse,3285,16085,5485
2021A00052473015,Census subdivision,2021,Blainville,10995,39910,8105
2021A00052473020,Census subdivision,2021,Rosemère,2470,8800,2800
2021A00052473030,Census subdivision,2021,Bois-des-Filion,1920,6685,1435
2021A00052473035,Census subdivision,2021,Sainte-Anne-des-Plaines,2855,9465,2190
2021A00052474005,Census subdivision,2021,Mirabel,12605,40650,7590
2021A00052475005,Census subdivision,2021,Saint-Colomban,4080,11815,1830
2021A00052475017,Census subdivision,2021,Saint-Jérôme,12405,48210,17260
2021A00052475028,Census subdivision,2021,Sainte-Sophie,3890,12075,2015
2021A00052475040,Census subdivision,2021,Prévost,2480,8640,2500
2021A00052475045,Census subdivision,2021,Saint-Hippolyte,1770,7120,1755
2021A00052476020,Census subdivision,2021,Lachute,1995,8020,3345
2021A00052477022,Census subdivision,2021,Sainte-Adèle,1715,8415,3635
2021A00052477043,Census subdivision,2021,Saint-Sauveur,1150,6335,3925
2021A00052478032,Census subdivision,2021,Sainte-Agathe-des-Monts,1385,6290,3175
2021A00052478102,Census subdivision,2021,Mont-Tremblant,1300,6380,2875
2021A00052479088,Census subdivision,2021,Mont-Laurier,2015,8320,3360
2021A00052481017,Census subdivision,2021,Gatineau,52580,189730,43405
2021A00052482015,Census subdivision,2021,Val-des-Monts,2570,9005,1745
2021A00052482020,Census subdivision,2021,Cantley,2445,7780,1210
2021A00052486042,Census subdivision,2021,Rouyn-Noranda,7295,26565,7430
2021A00052488055,Census subdivision,2021,Amos,2000,7540,2565
2021A00052489008,Census subdivision,2021,Val-d'Or,5625,20565,5955
2021A00052490012,Census subdivision,2021,La Tuque,1575,6525,2820
2021A00052491042,Census subdivision,2021,Saint-Félicien,1555,5945,2370
2021A00052492022,Census subdivision,2021,Dolbeau-Mistassini,2065,7725,3335
2021A00052493042,Census subdivision,2021,Alma,4635,17950,6735
2021A00052494068,Census subdivision,2021,Saguenay,21530,86625,32960
2021A00052496020,Census subdivision,2021,Baie-Comeau,2950,12575,4270
2021A00052497007,Census subdivision,2021,Sept-Îles,4005,15330,4690
2021A00053501005,Census subdivision,2021,South Glengarry,2000,7965,3250
2021A00053501011,Census subdivision,2021,South Stormont,2125,8310,2970
2021A00053501012,Census subdivision,2021,Cornwall,7505,27930,10910
2021A00053501020,Census subdivision,2021,South Dundas,1655,6365,2925
2021A00053501030,Census subdivision,2021,North Dundas,1915,7030,2160
2021A00053501050,Census subdivision,2021,North Glengarry,1385,5975,2535
2021A00053502008,Census subdivision,2021,Hawkesbury,1200,5670,2960
2021A00053502025,Census subdivision,2021,The Nation / La Nation,2420,8790,1945
2021A00053502036,Census subdivision,2021,Clarence-Rockland,4705,16750,4490
2021A00053502048,Census subdivision,2021,Russell,3855,12895,2690
2021A00053506008,Census subdivision,2021,Ottawa,166800,673700,160435
2021A00053507015,Census subdivision,2021,Brockville,2655,12665,6195
2021A00053507040,Census subdivision,2021,Rideau Lakes,1355,6125,3310
2021A00053507065,Census subdivision,2021,North Grenville,2930,11165,3710
2021A00053509028,Census subdivision,2021,Carleton Place,2235,7660,2375
2021A00053509030,Census subdivision,2021,Mississippi Mills,2175,8610,3605
2021A00053510010,Census subdivision,2021,Kingston,18710,84210,26190
2021A00053510020,Census subdivision,2021,South Frontenac,3110,12705,4320
2021A00053511005,Census subdivision,2021,Loyalist,2800,10365,3730
2021A00053511015,Census subdivision,2021,Greater Napanee,2285,9535,4145
2021A00053512005,Census subdivision,2021,Belleville,8220,33505,12065
2021A00053512015,Census subdivision,2021,Quinte West,7345,28640,9990
2021A00053513020,Census subdivision,2021,Prince Edward County,2960,13950,8280
2021A00053514004,Census subdivision,2021,Brighton,1360,6260,3875
2021A00053514019,Census subdivision,2021,Hamilton,1535,6990,2505
2021A00053514020,Census subdivision,2021,Port Hope,2215,10165,4505
2021A00053514021,Census subdivision,2021,Cobourg,2535,10935,6310
2021A00053514045,Census subdivision,2021,Trent Hills,1720,7790,4105
2021A00053515013,Census subdivision,2021,Cavan Monaghan,1785,6095,1885
2021A00053515014,Census subdivision,2021,Peterborough,11960,51000,18640
2021A00053515015,Census subdivision,2021,Selwyn,2595,10705,5160
2021A00053516010,Census subdivision,2021,Kawartha Lakes,10530,45440,21260
2021A00053518001,Census subdivision,2021,Pickering,16390,66265,15930
2021A00053518005,Census subdivision,2021,Ajax,23790,86175,16285
2021A00053518009,Census subdivision,2021,Whitby,26400,91185,19080
2021A00053518013,Census subdivision,2021,Oshawa,30770,114935,28300
2021A00053518017,Census subdivision,2021,Clarington,19600,66000,15130
2021A00053518020,Census subdivision,2021,Scugog,3015,13255,5010
2021A00053518029,Census subdivision,2021,Uxbridge,3265,13650,4495
2021A00053518039,Census subdivision,2021,Brock,2130,7610,2565
2021A00053519028,Census subdivision,2021,Vaughan,53260,216920,51130
2021A00053519036,Census subdivision,2021,Markham,53850,222425,60980
2021A00053519038,Census subdivision,2021,Richmond Hill,29950,137175,33805
2021A00053519044,Census subdivision,2021,Whitchurch-Stouffville,9650,31205,8570
2021A00053519046,Census subdivision,2021,Aurora,10560,41790,9040
2021A00053519048,Census subdivision,2021,Newmarket,14510,59185,12915
2021A00053519049,Census subdivision,2021,King,4875,17915,4415
2021A00053519054,Census subdivision,2021,East Gwillimbury,6615,22825,4680
2021A00053519070,Census subdivision,2021,Georgina,7770,31620,7735
2021A00053520005,Census subdivision,2021,Toronto,383340,1921010,456940
2021A00053521005,Census subdivision,2021,Mississauga,109230,488510,115080
2021A00053521010,Census subdivision,2021,Brampton,117620,452810,79730
2021A00053521024,Census subdivision,2021,Caledon,13150,51670,11265
2021A00053522014,Census subdivision,2021,Orangeville,5720,19750,4225
2021A00053523008,Census subdivision,2021,Guelph,23480,96380,21970
2021A00053523009,Census subdivision,2021,Guelph/Eramosa,2310,8925,2510
