DGUID,GEO_LEVEL,CENSUS_YEAR,GEO_NAME,TOTAL_GENDER (1),CHARACTERISTIC_NAME,AGE
2021A00051307019,Census subdivision,2021,Moncton,1785,  0 to 14 years,Total - Age
2021A00051307019,Census subdivision,2021,Moncton,6900,  15 to 64 years,Total - Age
2021A00051307019,Census subdivision,2021,Moncton,1945,  65 years and over,Total - Age
2021A00051307022,Census subdivision,2021,Moncton,11885,  0 to 14 years,Total - Age
2021A00051307022,Census subdivision,2021,Moncton,51425,  15 to 64 years,Total - Age
2021A00051307022,Census subdivision,2021,Moncton,14090,  65 years and over,Total - Age
2021A00051307045,Census subdivision,2021,Dieppe,4700,  0 to 14 years,Total - Age
2021A00051307045,Census subdivision,2021,Dieppe,18515,  15 to 64 years,Total - Age
2021A00051307045,Census subdivision,2021,Dieppe,4455,  65 years and over,Total - Age
2021A00051309050,Census subdivision,2021,Miramichi,2360,  0 to 14 years,Total - Age
2021A00051309050,Census subdivision,2021,Miramichi,10250,  15 to 64 years,Total - Age
2021A00051309050,Census subdivision,2021,Miramichi,4585,  65 years and over,Total - Age
2021A00051310032,Census subdivision,2021,Fredericton,9105,  0 to 14 years,Total - Age
2021A00051310032,Census subdivision,2021,Fredericton,41085,  15 to 64 years,Total - Age
2021A00051310032,Census subdivision,2021,Fredericton,11645,  65 years and over,Total - Age
2021A00051313027,Census subdivision,2021,Edmundston,1855,  0 to 14 years,Total - Age
2021A00051313027,Census subdivision,2021,Edmundston,9175,  15 to 64 years,Total - Age
2021A00051313027,Census subdivision,2021,Edmundston,4225,  65 years and over,Total - Age
2021A00051315002,Census subdivision,2021,Tracadie,1760,  0 to 14 years,Total - Age
2021A00051315002,Census subdivision,2021,Tracadie,9955,  15 to 64 years,Total - Age
2021A00051315002,Census subdivision,2021,Tracadie,3930,  65 years and over,Total - Age
2021A00051315011,Census subdivision,2021,Bathurst,1315,  0 to 14 years,Total - Age
2021A00051315011,Census subdivision,2021,Bathurst,6905,  15 to 64 years,Total - Age
2021A00051315011,Census subdivision,2021,Bathurst,3400,  65 years and over,Total - Age
2021C30051399999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, New Brunswick",57615,  0 to 14 years,Total - Age
2021C30051399999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, New Brunswick",250375,  15 to 64 years,Total - Age
2021C30051399999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, New Brunswick",95100,  65 years and over,Total - Age
2021A00052401023,Census subdivision,2021,Les Îles-de-la-Madeleine,1360,  0 to 14 years,Total - Age
2021A00052401023,Census subdivision,2021,Les Îles-de-la-Madeleine,7255,  15 to 64 years,Total - Age
2021A00052401023,Census subdivision,2021,Les Îles-de-la-Madeleine,3305,  65 years and over,Total - Age
2021A00052403005,Census subdivision,2021,Gaspé,2125,  0 to 14 years,Total - Age
2021A00052403005,Census subdivision,2021,Gaspé,9000,  15 to 64 years,Total - Age
2021A00052403005,Census subdivision,2021,Gaspé,3530,  65 years and over,Total - Age
2021A00052408053,Census subdivision,2021,Matane,1685,  0 to 14 years,Total - Age
2021A00052408053,Census subdivision,2021,Matane,7920,  15 to 64 years,Total - Age
2021A00052408053,Census subdivision,2021,Matane,3915,  65 years and over,Total - Age
2021A00052410043,Census subdivision,2021,Rimouski,7010,  0 to 14 years,Total - Age
2021A00052410043,Census subdivision,2021,Rimouski,28975,  15 to 64 years,Total - Age
2021A00052410043,Census subdivision,2021,Rimouski,11480,  65 years and over,Total - Age
2021A00052412072,Census subdivision,2021,Rivière-du-Loup,2745,  0 to 14 years,Total - Age
2021A00052412072,Census subdivision,2021,Rivière-du-Loup,11455,  15 to 64 years,Total - Age
2021A00052412072,Census subdivision,2021,Rivière-du-Loup,4665,  65 years and over,Total - Age
2021A00052418050,Census subdivision,2021,Montmagny,1325,  0 to 14 years,Total - Age
2021A00052418050,Census subdivision,2021,Montmagny,6305,  15 to 64 years,Total - Age
2021A00052418050,Census subdivision,2021,Montmagny,3090,  65 years and over,Total - Age
2021A00052423027,Census subdivision,2021,Québec,80845,  0 to 14 years,Total - Age
2021A00052423027,Census subdivision,2021,Québec,339750,  15 to 64 years,Total - Age
2021A00052423027,Census subdivision,2021,Québec,112940,  65 years and over,Total - Age
2021A00052423057,Census subdivision,2021,L'Ancienne-Lorette,2505,  0 to 14 years,Total - Age
2021A00052423057,Census subdivision,2021,L'Ancienne-Lorette,10110,  15 to 64 years,Total - Age
2021A00052423057,Census subdivision,2021,L'Ancienne-Lorette,3825,  65 years and over,Total - Age
2021A00052423072,Census subdivision,2021,Saint-Augustin-de-Desmaures,2980,  0 to 14 years,Total - Age
2021A00052423072,Census subdivision,2021,Saint-Augustin-de-Desmaures,12000,  15 to 64 years,Total - Age
2021A00052423072,Census subdivision,2021,Saint-Augustin-de-Desmaures,4275,  65 years and over,Total - Age
2021A00052425213,Census subdivision,2021,Lévis,25135,  0 to 14 years,Total - Age
2021A00052425213,Census subdivision,2021,Lévis,92385,  15 to 64 years,Total - Age
2021A00052425213,Census subdivision,2021,Lévis,28710,  65 years and over,Total - Age
2021A00052426030,Census subdivision,2021,Sainte-Marie,2335,  0 to 14 years,Total - Age
2021A00052426030,Census subdivision,2021,Sainte-Marie,7780,  15 to 64 years,Total - Age
