DGUID,GEO,"Land area in square kilometres, 2021","National population rank, 2021","Population density per square kilometre, 2021","Population percentage change, 2016 to 2021","Population, 2016","Population, 2021","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2021","Province/territory population rank, 2021","Total private dwellings percentage change, 2016 to 2021","Total private dwellings, 2016","Total private dwellings, 2021"
2021A00053558064,Lake Helen 53A,0.86,3720.0,277.8,-18.1,293.0,240.0,-13.3,105.0,91.0,483.0,-9.3,107.0,97.0
2021A00053558065,Gull River 55,39.77,4214.0,2.8,-55.5,247.0,110.0,-24.1,79.0,60.0,523.0,-11.8,102.0,90.0
2021A00053558066,Manitouwadge,352.17,1394.0,5.6,1.9,1937.0,1974.0,2.9,894.0,920.0,307.0,-2.1,1082.0,1059.0
2021A00053558067,Ginoogaming First Nation,68.65,3866.0,2.9,-4.8,210.0,200.0,0.0,62.0,62.0,493.0,1.6,64.0,65.0
2021A00053558068,Long Lake 58,2.75,3151.0,149.0,6.5,385.0,410.0,10.8,111.0,123.0,443.0,13.4,112.0,127.0
2021A00053558069,Rocky Bay 1,0.26,4039.0,592.8,-16.3,184.0,154.0,-18.8,64.0,52.0,506.0,5.9,68.0,72.0
2021A00053558074,Sand Point First Nation,10.71,4760.0,0.5,,0.0,5.0,,0.0,4.0,548.0,625.0,4.0,29.0
2021A00053558075,Greenstone,2727.04,814.0,1.6,-7.1,4636.0,4309.0,-5.8,2038.0,1920.0,243.0,-5.4,2588.0,2449.0
2021A00053558076,Aroland,3.34,3939.0,53.3,-51.4,366.0,178.0,-47.2,108.0,57.0,498.0,-47.7,111.0,58.0
2021A00053558077,Lake Nipigon,12.89,4831.0,0.0,,0.0,0.0,,0.0,0.0,555.0,,0.0,0.0
2021A00053558080,Ojibway Nation of Saugeen (Savant Lake),57.06,4314.0,1.5,-2.2,90.0,88.0,3.7,27.0,28.0,531.0,-2.6,38.0,37.0
2021A00053558085,Osnaburgh 63A,47.48,3735.0,4.9,0.4,232.0,233.0,0.0,48.0,48.0,485.0,16.3,49.0,57.0
2021A00053558090,"Thunder Bay, Unorganized",96255.92,630.0,0.1,6.0,5867.0,6221.0,7.6,2587.0,2784.0,212.0,-7.4,6122.0,5671.0
2021A00053558092,Red Rock 53,2.24,4831.0,0.0,-100.0,5.0,0.0,-100.0,2.0,0.0,555.0,87.5,8.0,15.0
2021A00053558097,Whitesand,2.56,3519.0,116.2,-8.6,325.0,297.0,-8.2,98.0,90.0,471.0,-1.9,105.0,103.0
